id,text_to_label,label_thien,label_kiet,label_huy,label_majority
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTQzNTc3Nzg2NDc4MDMzMw==,nếu người vợ đã không chịu về thì thôi ly hôn đi đã người ta không chịu rồi ép người ta chi,0,0,0,0
Y29tbWVudDoxMDA4MDcwODgxMzU0OTIzXzEzMjU3MDgxMDg3ODA1Njc=,5tr sinh viên bố mẹ cho 4tr 1 tháng giờ làm sao,0,0,0,0
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMTc4MTQ2MzM4MjUwMDg0OA==,<person> cũng định bắt nhưng phát hiện trong đó có mấy thằng con mày nên sợ không giám bắt cứ để nó chạy chán rồi tháng nó cũng về 2 lần thôi mà,0,2,0,0
331f9feef9b7,tôi hay gọi là người bắc thôi sống lớn rồi thì ăn nói lịch sự chút,0,2,0,0
Y29tbWVudDoxMDI0OTY0ODAzMTI3OTE5XzEyNDA0MTAwODQxMjA1NjU=,<person> sập chưa? Xạo lồn riết quen,1,1,1,1
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfNzU0MjU3ODEwOTk5NjY5,xin lỗi là xong hả con dễ dữ vậy,0,2,0,0
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTQ4OTcxMTg0ODk3MjY4Mg==,đơn giản chỉ vì quá yêu,0,0,0,0
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTIwNTA1NDk5MTczNzA5MA==,thùng sốp 40k,0,0,0,0
e113ddc8312e,"xe nó đang chạy, đi nhảy ra lãnh đạn. chơi ngu quen thói.",1,1,1,1
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfNzAwMDU1MzU1OTM2MjQw,chửi cho dữ rồi xin lỗi không ai chấp nhận cả,0,1,0,0
Y29tbWVudDoxMjcyNTYxNjkxNTY5MDU0XzEyOTIyODQ4MzI5NDQ3MjY=,cốc trà tranh 80k 2019 này,0,0,0,0
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzE0Nzc0MDEzMzY3MjM0NDY=,"vô đồng nai toàn rác , đi tới đâu vứt rác đầy hết , vô quán ăn của người bắc là úi giùi ơi ,",2,2,2,2
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfNzk4OTEyOTk5Nzg0NzQ2,"làm được chịu được không tha thứ được, làm ô nhục người miền bắc, gây chia rẽ khối đại đoàn kết dân tộc của quốc gia xứng đáng đi cải tạo kịch khung.",0,2,0,0
bc3dff46428c,cay hả bắc kỳ,2,2,2,2
eb362956dbc4,"<user> thế mục đích họ spam để gây khó chịu đúng không tôi vẫn né mà bạn, ông nào dùng từ xúc phạm quá tôi mới nói, tôi cũng không dùng từ nam kỳ bạn ơi",0,2,0,0
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMjY1NTA5MzA3ODE2NDk5MA==, mày chửi dân miền nam giờ lại xin lỗi quá trễ rồi,0,0,0,0
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzc2MTYzNTA3OTk2NTMyOQ==,<person> ok người mỹ,0,2,2,0
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMTUzOTQzODIyNjk3MjQ5Nw==,lầm lỗi biết sai nhân lỗi dể sửa bản thân,0,0,0,0
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfODE1MDg3ODM0MjQ0ODgz,sao bọn này không chết mẹ hết đi cho nó sạch đời nhỉ,2,2,0,2
Y29tbWVudDoxODUwMjM4ODYyNDI3MDUyXzEwNDc1NjIwMTA3MTE0OTI=,"hai thằng này vô học, mất dạy, vô ơn. giặc đến nhà thì chúng nó sẽ theo giặc đầu tiên.",2,1,2,1
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMjUzMzI4MDk1ODYzMjM3Njg=,"ủa mày chửi to lắm mà, sao lại xin lỗi?",0,1,0,0
Y29tbWVudDoxODUwMjM4ODYyNDI3MDUyXzU2OTkyNTg2NjEzOTcwNg==,tăng nhiều tiết học đạo đức,0,0,0,0
Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzgyOTMzMTkxNjc1Njc5NA==,"không quay sao mọi người biết miền trung họ khổ thế nào. nếu không thích họ thì đừng xem, mình chưa chắc làm được như họ",0,2,0,0
baf3345fcbeb,​ <user> đấy là bên ngoài thôi về phường biết ngay,0,0,0,0
5d16676d555f,"nên cho bọn này sống thực vật mới không còn ảnh hưởng đến xã hội! hôm nay là tông vào công an, ngày mai có thể là một người dân vô tội!",2,2,0,2
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzEyMTEyNTU4MTMzNzEyMDI=,<person> thì tao nói có sai đéo đâu mà cãi nhà mày vô phúc lắm mới đẻ ra loại như mày đó,2,2,2,2
Y29tbWVudDoxMjg2Mzc2NzY5NTA3MzI4XzEwNjkzMTA1MTE5OTIzNTQ=,đéo mẹ vừa lướt vào bài này là hết sạch 5g rồi ?,1,1,1,1
Y29tbWVudDoxNjY0NjQ4OTIxNjA0MDUxXzEwMjU5MDYzNTYzMjM4NTk=,<person> chủ yếu vẫn là ý thức con người đấy là theo ý kiến của mình ạ,0,0,2,0
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzEwNTIwNDg0MTM2NzQwMTA=,văn hóa ngắn !,0,0,0,0
Y29tbWVudDoxMjM5OTM4MDQ4MTY0NzUyXzExMTI2ODEzNzQzNjYyMjU=,"99% mấy đứa đi xe phân khối lớn này toàn óc chó cả, cứ phải phi ầm ầm mới nghĩ mình ngầu hay sao ấy. con mẹ nó chứ",2,1,1,1
70363249319f,việt nam giờ ra đường đi xe tăng mới an toàn nhé .,0,0,0,0
Y29tbWVudDoxODUwMjM4ODYyNDI3MDUyXzExOTczMDk0NzIwNTgyMTY=,mấy thằng mắc dậy,1,1,1,1
3445abe110b7,bọn cộng đồng mạng đúng rửng mỡ,1,1,1,1
77c24225c358,"bố mày cay quá, bắc kỳ chắc ạ",2,2,2,2
Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzIyOTA1NTg0NjgwNTg0OTI=,có giúp là được rồi.,0,0,0,0
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMjc1NTMyMDc4NDY3MjI2OA==,chết cho hết đi,2,2,0,2
Y29tbWVudDoxMDA4MDcwODgxMzU0OTIzXzEyNjc0MzA3NDQ1NjUyNjQ=,chạy sh,0,0,0,0
71834a144f1b,chuyến này xong phim rồi,0,0,0,0
9ff84a06de4a,"lấy gậy đập cho lũ trâu bò này gẫy chân hết đi, toàn là thú vật chứ không phải người",2,2,2,2
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMTgzNDI2NTI3MzgzMDc3Nw==,đây cũng là hàng con ông cháu cha con cái nhà có chức có quyền hết đấy,1,2,0,0
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMjU4NTM1ODIyMTgyNjYzNw==,<person> mở mồm ra cho thiên hạ người ta chửi,1,0,0,0
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMTg4Njk2OTE2ODg4NjE2Mg==,<person> luật dạy giỗ thằng này cho tốt,0,0,0,0
Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzEyOTY5NTgyMTg4Njc2OTg=,<person> làm giàu thì mới có tiền đi từ thiện ngu,1,1,1,1
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzExMTAwNDgzMTc5NDU2Mzc=,nhằm nhò gì so với nhà hàng sakê ở <person> đổ không biết bao nhiêu là rác xuống sông sài gòn đoạn gần cầu bình lợi,0,0,1,0
Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzEzNzQ5MDU3OTQxOTAyNjQ=,có giúp là mình mừng biết ơn rồi,0,0,0,0
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTg5NzcyMzI2MTEyNDQxNQ==,sống chung rồi mới biết họ quỳ xuống chắc gì đã thật lòng,0,0,0,0
44b54293b062,"tuấn nói đúng này! không nên cổ xúy, nó sẽ biến tướng. kiểu như giựt cô hồn, giờ có vài trường hợp biến tướng thành cướp giật. xã hội lệch lạc thực sự",1,2,0,0
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfODE0OTUzMDI4MDU3MzM3,ê anh ơi về đây em nuôi,0,0,0,0
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTM2Njc3OTQ0MTkwNjE1Mg==,"<person> . sao mọi người hiểu sai lệch đạo đức , đạo lý làm người ưuas vậy. chồng không tốt , không yêu có thể bỏ chứ người phụ nữ đàng hoàng , sống vun vén cho gia đình họ không bao giờ ngoại tình. có bỏ chồng họ cũng sống chịu khó làm ăn đàng hoàng .",0,0,0,0
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzk4NTYwNTA0MzQwOTM3Mw==,đúng là bất hạnh cho hai gia đình.,1,0,2,0
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzk1ODk1OTg2NzQ1MDAyMjY=,nhục nhã,1,1,2,0
Y29tbWVudDoxMjM5OTM4MDQ4MTY0NzUyXzI4Mzc2ODA0ODk3NTkxODM=,"lúc này không thấy bọn chó hùa khối phân lớn vào nói gì nhỉ. gọi nguyên cả hội vào, bố nhận gạch. anh em tim cho mình lên đầu cho tụi nó dễ thấy.",1,1,0,1
0d3760ebdf69,nghe như hiếp dâm lỗ tai,1,1,1,1
056bb4888ce6,lyric thời 2021 à,0,0,1,0
0dfcd3440cce,<user> tụi nó chỉ là nhóc thôi,0,0,0,0
814b0c44327c,sao kho thé .,0,0,0,0
5cede634fadc,"bình luận toàn bọn tiêu chuẩn kép, đéo ai đụng vào mình mà cứ vô nói điện thoại nặng, dùng nokia đi",1,0,1,1
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMTY4MzU4NDU0NTY1MjI1Ng==,ngã thế mà không vic gì,0,0,0,0
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfNjQ5NDQ0MjQxMzU2NzQw,những tình trạng đua xe nên tịch thu xe tốt cả 2 một thì không gây tai nạn cho người khác hai là bản thân của nó không chết,2,0,0,0
Y29tbWVudDoxMjg2Mzc2NzY5NTA3MzI4Xzc3Nzk2Nzk4ODAzNDc2Nw==,ô mai gót tộ,0,0,0,0
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfNzgyNjc5MDA0NzQyMjcx,"<person> khổ vãi cả lồn, đuổi thì kêu nguy hiểm cho người đi đường, sao không quay lại biển số rồi phạt nguội d mày giờ động vào bọn này mà dân đéo khóc lóc kêu gào xem, 1 nốt nhạc là cút hết d mày nhà chúng mày tiêu chuẩn kép, công an việt nam khổ vãi lồn làm cái lồn gì cũng bị chúng mày chửi",2,1,1,1
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzEyMjU4NzUwOTkyNzIyMjA=,<person> thay phiên,0,0,2,0
