text,label
nếu người vợ đã không chịu về thì thôi ly hôn đi đã người ta không chịu rồi ép người ta chi,0
5tr sinh viên bố mẹ cho 4tr 1 tháng giờ làm sao,0
<person> cũng định bắt nhưng phát hiện trong đó có mấy thằng con mày nên sợ không giám bắt cứ để nó chạy chán rồi tháng nó cũng về 2 lần thôi mà,0
tôi hay gọi là người bắc thôi sống lớn rồi thì ăn nói lịch sự chút,0
<person> sập chưa? Xạo lồn riết quen,1
xin lỗi là xong hả con dễ dữ vậy,0
đơn giản chỉ vì quá yêu,0
thùng sốp 40k,0
"xe nó đang chạy, đi nhảy ra lãnh đạn. chơi ngu quen thói.",1
chửi cho dữ rồi xin lỗi không ai chấp nhận cả,0
cốc trà tranh 80k 2019 này,0
"vô đồng nai toàn rác , đi tới đâu vứt rác đầy hết , vô quán ăn của người bắc là úi giùi ơi ,",2
"làm được chịu được không tha thứ được, làm ô nhục người miền bắc, gây chia rẽ khối đại đoàn kết dân tộc của quốc gia xứng đáng đi cải tạo kịch khung.",0
cay hả bắc kỳ,2
"<user> thế mục đích họ spam để gây khó chịu đúng không tôi vẫn né mà bạn, ông nào dùng từ xúc phạm quá tôi mới nói, tôi cũng không dùng từ nam kỳ bạn ơi",0
 mày chửi dân miền nam giờ lại xin lỗi quá trễ rồi,0
<person> ok người mỹ,0
lầm lỗi biết sai nhân lỗi dể sửa bản thân,0
sao bọn này không chết mẹ hết đi cho nó sạch đời nhỉ,2
"hai thằng này vô học, mất dạy, vô ơn. giặc đến nhà thì chúng nó sẽ theo giặc đầu tiên.",1
"ủa mày chửi to lắm mà, sao lại xin lỗi?",0
tăng nhiều tiết học đạo đức,0
"không quay sao mọi người biết miền trung họ khổ thế nào. nếu không thích họ thì đừng xem, mình chưa chắc làm được như họ",0
​ <user> đấy là bên ngoài thôi về phường biết ngay,0
"nên cho bọn này sống thực vật mới không còn ảnh hưởng đến xã hội! hôm nay là tông vào công an, ngày mai có thể là một người dân vô tội!",2
<person> thì tao nói có sai đéo đâu mà cãi nhà mày vô phúc lắm mới đẻ ra loại như mày đó,2
đéo mẹ vừa lướt vào bài này là hết sạch 5g rồi ?,1
<person> chủ yếu vẫn là ý thức con người đấy là theo ý kiến của mình ạ,0
văn hóa ngắn !,0
"99% mấy đứa đi xe phân khối lớn này toàn óc chó cả, cứ phải phi ầm ầm mới nghĩ mình ngầu hay sao ấy. con mẹ nó chứ",1
việt nam giờ ra đường đi xe tăng mới an toàn nhé .,0
mấy thằng mắc dậy,1
bọn cộng đồng mạng đúng rửng mỡ,1
"bố mày cay quá, bắc kỳ chắc ạ",2
có giúp là được rồi.,0
chết cho hết đi,2
chạy sh,0
chuyến này xong phim rồi,0
"lấy gậy đập cho lũ trâu bò này gẫy chân hết đi, toàn là thú vật chứ không phải người",2
đây cũng là hàng con ông cháu cha con cái nhà có chức có quyền hết đấy,0
<person> mở mồm ra cho thiên hạ người ta chửi,0
<person> luật dạy giỗ thằng này cho tốt,0
<person> làm giàu thì mới có tiền đi từ thiện ngu,1
nhằm nhò gì so với nhà hàng sakê ở <person> đổ không biết bao nhiêu là rác xuống sông sài gòn đoạn gần cầu bình lợi,0
có giúp là mình mừng biết ơn rồi,0
sống chung rồi mới biết họ quỳ xuống chắc gì đã thật lòng,0
"tuấn nói đúng này! không nên cổ xúy, nó sẽ biến tướng. kiểu như giựt cô hồn, giờ có vài trường hợp biến tướng thành cướp giật. xã hội lệch lạc thực sự",0
ê anh ơi về đây em nuôi,0
"<person> . sao mọi người hiểu sai lệch đạo đức , đạo lý làm người ưuas vậy. chồng không tốt , không yêu có thể bỏ chứ người phụ nữ đàng hoàng , sống vun vén cho gia đình họ không bao giờ ngoại tình. có bỏ chồng họ cũng sống chịu khó làm ăn đàng hoàng .",0
đúng là bất hạnh cho hai gia đình.,0
nhục nhã,0
"lúc này không thấy bọn chó hùa khối phân lớn vào nói gì nhỉ. gọi nguyên cả hội vào, bố nhận gạch. anh em tim cho mình lên đầu cho tụi nó dễ thấy.",1
nghe như hiếp dâm lỗ tai,1
lyric thời 2021 à,0
<user> tụi nó chỉ là nhóc thôi,0
sao kho thé .,0
