input_text,label
hai thanh niên đại học là lối chửi bới cựu chiến binh </s> o được vậy bắt trả giá,0
cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> mấy video mà chồng đi ngoại tình toàn mấy ông vào bình luận vợ pải như nào chồng mới thế. thế mà phụ nữ đi ngoại tình nói thế các ông lại vào chửi. éo hiểu,1
vụ xe phân khối lớn đâm vào đôi bạn trẻ trên phố <person> video hành trình ghi lại cảnh chiếc bmw phóng vơi tốc độ kinh hoàng‼ nghe tiếng người bạn trai ôm bạn gái bị đứt lìa chân khóc thảm. </s> đây là dòng xe !,0
hai thanh niên đại học là lối chửi bới cựu chiến binh </s> ngoài 3 nhân vật chính còn có hai thằng kế bên nữa,0
vậy là chúng ta đã kết thúc chuỗi ngày tự do yêu nhau chuyển sang cuộc sống hôn nhân hôn đồng tính </s> nhìn phát oí,2
"boy phố ""gãy cánh"" ngay trước mặt </s> chết mẹ đi",2
nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> thanh niên hay leo lề vượt đèn đỏ vô xem này,0
cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> thôi chym mày bé thj chấp nhận đj,1
"<person> đi từ thiện như mở megalive, làm gì cũng nói lớn sợ mic không thu tiếng </s> có làm như được nq ta không ở đó nói",0
kể từ khoảnh khắc này chúng ta sẽ cùng nhau già đi hôn đồng tính </s> thấy sau à bạn ơi,0
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> xin cái cồng cho màyra ngoài chuỏi tụi tao nữa chứ gì",0
2 báo thủ thông chốt làm 1 chiến sĩ cscđ chấn thương sọ não </s> lũ súc vật,2
vụ xe phân khối lớn đâm vào đôi bạn trẻ trên phố <person> video hành trình ghi lại cảnh chiếc bmw phóng vơi tốc độ kinh hoàng‼ nghe tiếng người bạn trai ôm bạn gái bị đứt lìa chân khóc thảm. </s> nhiều thằng não ngu vợ chồng bảo sao nhà nước cấm chơi xe chơi văn minh như bên thái thì tốt,1
hai thanh niên đại học là lối chửi bới cựu chiến binh </s> lên phường chua,0
vậy là chúng ta đã kết thúc chuỗi ngày tự do yêu nhau chuyển sang cuộc sống hôn nhân hôn đồng tính </s> mong đẻ được thằng con trai để nó nối dõi tông đường mà cuối cùng thì .,2
official poster | visualizer mv body shaming ?- awai x win gì x <person> 15/08/2025 - 200 bàn về miệt thị ngoại hình <person> (miệt thị ngoại hình) là một </s> còn,0
" </s> ​ có trường hợp công an lợi dụng chức vụ đánh dân nhiều đấy nhé, đặc biệt là ép cũng đánh chết người cũng có rồi đấy , cũng khởi tố rồi đấy, không biết ông có người nhà làm công an không mà có vẻ bất mãn nhỉ",0
kể từ khoảnh khắc này chúng ta sẽ cùng nhau già đi hôn đồng tính </s> trước khi nói người ta phải suy nghĩ lại mình níu còn con cháu thì co gắng giữ dung cho nó giống họ nhé để họ lưu tin nhắn lại trông đó có mình thì ngượng gấp đôi người ta,0
