id,source_platform,topic,text_to_label,label,topic_hate,confidence,note,original_text
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTQzNTc3Nzg2NDc4MDMzMw==,Facebook,,nếu người vợ đã không chịu về thì thôi ly hôn điđã người ta không chịu rồi ép người ta chi,0,,,,Nếu người vk đã không chịu về thì thôi ly hôn đi.đã người ta không chịu rồi ép người ta chi
Y29tbWVudDoxMDA4MDcwODgxMzU0OTIzXzEzMjU3MDgxMDg3ODA1Njc=,Facebook,,5tr sinh viên bố mẹ cho 4tr 1 tháng giờ làm sao,0,,,,5tr sinh viên bố mẹ cho 4tr 1 tháng giờ làm sao
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMTc4MTQ2MzM4MjUwMDg0OA==,Facebook,,<person> cũng định bắt nhưng phát hiện trong đó có mấy thằng con mày nên sợ kg giám bắt cứ để nó chạy chán rồi tháng nó cũng về 2 lần thôi mà,0,,,,Nguyễn Ngọc Biển cũng định bắt nhưng phát hiện trong đó có mấy thằng con mày nên sợ kg giám bắt cứ để nó chạy chán rồi tháng nó cũng về 2 lần thôi mà
331f9feef9b7,YouTube,,tôi hay gọi là người bắc thôisống lớn rồi thì ăn nói lịch sự chút,0,,,,tôi hay gọi là người Bắc thôi❤sống lớn rồi thì ăn nói lịch sự chút
Y29tbWVudDoxMDI0OTY0ODAzMTI3OTE5XzEyNDA0MTAwODQxMjA1NjU=,Facebook,,<person> sập chưa? lộn xào riết quen,1,,,,Quang Binh sập chưa? Lộn xào riết quen 😂
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfNzU0MjU3ODEwOTk5NjY5,Facebook,,xin lỗi là xong hả con dể giử vậy,0,,,,Xin loi là xong hả con dể giử vậy
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTQ4OTcxMTg0ODk3MjY4Mg==,Facebook,,đơn giản chỉ vì quá yêu,0,,,,Đơn giản chỉ vì quá yêu
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTIwNTA1NDk5MTczNzA5MA==,Facebook,,thùng sốp 40k,0,,,,Thùng sốp 40k
e113ddc8312e,YouTube,,"xe nó đang chạy, đi nhảy ra lãnh đạn. chơi ngu quen thói.",1,,,,"Xe 🚗 nó đang chạy, đi nhảy ra lãnh đạn.  Chơi ngu quen thói.  😅"
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfNzAwMDU1MzU1OTM2MjQw,Facebook,,chưởi cho dữ rồi xin lỗi không ai chấp nhận cả,0,,,,Chưởi cho dữ rồi xin lỗi ko ai chấp nhận cả
Y29tbWVudDoxMjcyNTYxNjkxNTY5MDU0XzEyOTIyODQ4MzI5NDQ3MjY=,Facebook,,cốc trà tranh 80k 2019 này,0,,,,Cốc trà tranh 80k 2019 nè
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzE0Nzc0MDEzMzY3MjM0NDY=,Facebook,,"vô đồng nai toàn rác , đi tới đâu vứt rác đầy hết , vô quán ăn của người bắc là úi giùi ơi ,",2,,,,"Vô đồng nai toàn rác , đi tới đâu vứt rác đầy hết , vô quán ăn của ng bắc là úi giùi ơi , 😮"
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfNzk4OTEyOTk5Nzg0NzQ2,Facebook,,"làm được chịu được không tha thứ được, làm ô nhục người miền bắc, gây chia rẽ khối đại đoàn kết dân tộc của quốc gia xứng đáng đi cải tạo kịch khung.",0,,,,"Làm được chịu được không tha thứ được, làm ô nhục người miền Bắc, gây chia rẽ khối đại đoàn kết dân tộc của Quốc gia xứng đáng đi cải tạo kịch khung."
bc3dff46428c,YouTube,region,cay hả bắc kỳ,2,,,,Cay hả bắc kì
eb362956dbc4,YouTube,region,"<user> thế mục đích họ spam để gây khó chịu đúng không tôi vẫn né mà bạn, ông nào dùng từ xúc phạm quá tôi mới nói, tôi cũng không dùng từ nam kỳ bạn ơi",0,,,,"@Orpheus_Ostiarius_P  thế mục đích họ spam để gây khó chịu đúng ko t vẫn né mà bạn, ông nào dùng từ xúc phạm quá t mới nói, t cũng ko dùng từ nam kì bạn ơi"
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMjY1NTA5MzA3ODE2NDk5MA==,Facebook,,may chui chan nguoi dan miền nam gio lai xin lỗi qua tre rồi,2,,,,May chui chan  nguoi dan mien Nam gio Lai xin loi qua tre roi
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzc2MTYzNTA3OTk2NTMyOQ==,Facebook,,<person> ok người mỹ,2,,,,Dac Lecong oke người Mỹ
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMTUzOTQzODIyNjk3MjQ5Nw==,Facebook,,lầm lỗi biết sai nhân lỗi dể sửa bản thân,0,,,,Lầm lỗi biết sai nhân lỗi  dể sửa bản thân
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfODE1MDg3ODM0MjQ0ODgz,Facebook,,sao bọn này không chết mẹ hết đi cho nó sạch đời nhỉ,0,,,,Sao bọn này ko chết mẹ hết đi cho nó sạch đời nhỉ
Y29tbWVudDoxODUwMjM4ODYyNDI3MDUyXzEwNDc1NjIwMTA3MTE0OTI=,Facebook,body,"hai thằng này vô học, mất dạy, vô ơn. giặc đến nhà thì chúng nó sẽ theo giặc đầu tiên.",2,,,,"Hai thằng này vô học, mất dạy, vô ơn. Giặc đến nhà thì chúng nó sẽ theo giặc đầu tiên."
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMjUzMzI4MDk1ODYzMjM3Njg=,Facebook,,"ủa mày chửi to lắm mà, sao lại xin lỗi?",0,,,,"Ủa mày chửi to lắm mà, sao lại xin lỗi????"
Y29tbWVudDoxODUwMjM4ODYyNDI3MDUyXzU2OTkyNTg2NjEzOTcwNg==,Facebook,,tăng nhiều tiết học đạo đức,0,,,,tăng nhiều tiết học đạo Đức
Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzgyOTMzMTkxNjc1Njc5NA==,Facebook,,"không quay sao mọi người biết miền trung họ khổ thế nào. nếu không thích họ thì đừng xem, mình chưa chắc làm được như họ",0,,,,"K quay sao mn biết miền trung họ khổ thế nào. Nếu k thích họ thì đừng xem, mình chưa chắc làm được như họ"
baf3345fcbeb,YouTube,gender,​ <user> đấy là bên ngoài thôi về phường biết ngay,0,,,,​ @khongnho775 😂😂😂 Đấy là bên ngoài thôi về phường biết ngay
5d16676d555f,YouTube,,"nên cho bọn này sống thực vật mới không còn ảnh hưởng đến xã hội! hôm nay là tông vào ca, ngày mai có thể là một người dân vô tội!",0,,,,"Nên cho bọn này sống thực vật mới ko còn ảnh hưởng đến xã hội! Hôm nay là tông vào CA, ngày mai có thể là một người dân vô tội!"
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzEyMTEyNTU4MTMzNzEyMDI=,Facebook,,<person> thì tao nói có sai đéo đâu mà cãi nhà mày vô phúc lắm mới đẻ ra loại như mày đó,2,,,,Nguyen Truong thì tao nói có sai đéo đâu mà cãi nhà m vô phúc lắm ms đẻ ra loại như m đó
Y29tbWVudDoxMjg2Mzc2NzY5NTA3MzI4XzEwNjkzMTA1MTE5OTIzNTQ=,Facebook,,đéo mẹ vừa lướt vào bài này là hết sạch 5g rồi ?,1,,,,Đéo mẹ vừa lướt vào bài này là hết sạch 5G rồi ???
Y29tbWVudDoxNjY0NjQ4OTIxNjA0MDUxXzEwMjU5MDYzNTYzMjM4NTk=,Facebook,body,<person> chủ yếu vẫn là ý thức con người đấy là theo ý kiến của mình ạ,2,,,,Mai Thị Lan Anh chủ yếu vẫn là ý thức con người đấy là theo ý kiến của mình ạ
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzEwNTIwNDg0MTM2NzQwMTA=,Facebook,,văn hóa ngắn !,0,,,,Văn hóa ngắn !
Y29tbWVudDoxMjM5OTM4MDQ4MTY0NzUyXzExMTI2ODEzNzQzNjYyMjU=,Facebook,,"99% mấy đứa đi kpl này toàn óc chó cả, cứ phải phi ầm ầm mới nghĩ mình ngầu hay sao ấy. con mẹ nó chứ",1,,,,"99% mấy đứa đi kpl này toàn óc chó cả, cứ phải phi ầm ầm mới nghĩ mình ngầu hay sao ấy. Cmn chứ"
70363249319f,YouTube,,việt nam giờ ra đường đi xe tăng mới an toàn nhé .,0,,,,VN GIỜ RA ĐƯỜNG ĐI XE TĂNG MỚI AN TOÀN NHA .
Y29tbWVudDoxODUwMjM4ODYyNDI3MDUyXzExOTczMDk0NzIwNTgyMTY=,Facebook,,mấy thằng mắt dậy,1,,,,mấy thằng mắt dậy
3445abe110b7,YouTube,,bọn cđm đúng rửng mỡ,1,,,,Bọn cđm đúng rửng mỡ 😂😂😂
77c24225c358,YouTube,family,"bố mày cay quá, bó kỳ chắc ạ",2,,,,"Bố m cay quá, bó kỳ chắc ạ"
Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzIyOTA1NTg0NjgwNTg0OTI=,Facebook,,có giúp là được rồi.,0,,,,Có giúp là đc rồi...
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMjc1NTMyMDc4NDY3MjI2OA==,Facebook,,chết cho hết đi,0,,,,Chết cho hết đi
Y29tbWVudDoxMDA4MDcwODgxMzU0OTIzXzEyNjc0MzA3NDQ1NjUyNjQ=,Facebook,,chạy sh,0,,,,Chạy SH
71834a144f1b,YouTube,,chuyến này xong phim rồi,0,,,,Chuyến này xong phim rồi
9ff84a06de4a,YouTube,violence,"lấy gậy đập cho lũ trâu bò này gẫy chân hết đi, toàn là thú vật chứ không phải người",2,,,,"Lấy gậy đập cho lũ trâu bò này gẫy chân hết đi, toàn là thú vật chứ không phải người 😡"
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMTgzNDI2NTI3MzgzMDc3Nw==,Facebook,,đây cũng là hàng con ông cháu cha con cái nhà có chức có quyền hết đấy,0,,,,Đây cũng là hàng con ông cháu cha con cái nhà có chức có quyền hết đấy
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMjU4NTM1ODIyMTgyNjYzNw==,Facebook,,<person> mở mồm ra cho thiên hạ người ta chửi,0,,,,Quách Ngọc Trinh mở mồm ra cho thiên hạ người ta chửi
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMTg4Njk2OTE2ODg4NjE2Mg==,Facebook,,<person> luật dạygiô thằng này cho tốt,0,,,,Mong Pháp luật  dạygiô thằng này cho tốt
Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzEyOTY5NTgyMTg4Njc2OTg=,Facebook,,<person> làm giau thi moi co tien đi tu thiên ngu,1,,,,Ngô Thanh Thuỷ lm giau thi moi co tien đi tu thiên ngu
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzExMTAwNDgzMTc5NDU2Mzc=,Facebook,,nhằm nhò gì so với nhà hàng sakê ở <person> đổ không biết bao nhiêu là rác xuống sông sài gòn đoạn gần cầu <person>,1,,,,Nhằm nhò gì so với nhà hàng Sakê ở Bình Thạnh đổ không biết bao nhiêu là rác xuống sông Sài Gòn đoạn gần cầu Bình Lợi 😂😂😂😂😂
Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzEzNzQ5MDU3OTQxOTAyNjQ=,Facebook,,có giúp là mình mừng biết ơn rồi,0,,,,Có giúp là mình mừng biết ơn rồi
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTg5NzcyMzI2MTEyNDQxNQ==,Facebook,,sống chung rồi mới biết họ quỳ xuống chắc gì đã thật lòng,0,,,,Sống chung rồi mới biet họ quỳ xuống chắc j đã thật lòng
44b54293b062,YouTube,,"tuấn nói đúng này! không nên cổ xúy, nó sẽ biến tướng. kiểu như giựt cô hồn, giờ có vài trường hợp biến tướng thành cướp giật. xã hội lệch lạc thực sự",0,,,,"Tuấn nói đúng nè! Không nên cổ xúy, nó sẽ biến tướng. Kiểu như giựt cô hồn, giờ có vài trường hợp biến tướng thành cướp giật. Xã hội lệch lạc thực sự"
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfODE0OTUzMDI4MDU3MzM3,Facebook,,ê anh ơi về đây em nuôi,0,,,,ê anh ơi về đây e nuôi
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTM2Njc3OTQ0MTkwNjE1Mg==,Facebook,,"<person> . sao mọi người hiểu sai lệch đạo đức , đạo lý làm người ưuas vậy. chồng không tốt , không yêu có thể bỏ chứ người phụ nữ đàng hoàng , sống vun vén cho gia đình họ không bao giờ ngoại tình. có bỏ chồng họ cũng sống chịu khó làm ăn đàng hoàng .",0,,,,"Hương Sông . Sao mn hiểu sai lệch đạo đức ,đạo lý làm ng ưuas vậy. Ck k tốt ,k yêu có thể bỏ chứ ng phụ nữ đàng hoàng ,sống vun vén cho gia đình họ k bao giờ ngoại tình...có bỏ ck họ cũng sống chịu khó làm ăn đàng hoàng ..."
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzk4NTYwNTA0MzQwOTM3Mw==,Facebook,,đúng là bất hạnh cho hai gia đình.,2,,,,Đúng là bất hạnh cho hai gia đình.
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzk1ODk1OTg2NzQ1MDAyMjY=,Facebook,,nhục nhã,2,,,,Nhục nhã
Y29tbWVudDoxMjM5OTM4MDQ4MTY0NzUyXzI4Mzc2ODA0ODk3NTkxODM=,Facebook,,"lúc này không thấy bọn chó hùa khối phân lớn vào nói gì nhỉ. gọi nguyên cả hội vào, bố nhận gạch. anh em tim cho mình lên đầu cho tụi nó dễ thấy.",0,,,,"Lúc này không thấy bọn chó hùa khối phân lớn vào nói gì nhỉ. Gọi nguyên cả hội vào, bố nhận gạch. Anh em tim cho mình lên đầu cho tụi nó dễ thấy."
0d3760ebdf69,YouTube,,nghe như hiếp dâm lỗ tai,1,,,,Nghe như hiếp dâm lỗ tai
056bb4888ce6,YouTube,,lyric thời 2021 à,1,,,,Lyric thời 2021 à
0dfcd3440cce,YouTube,,<user> tụi nó chỉ là nhóc thôi,0,,,,@hehek4801  tụi nó chỉ là nhóc thôi
814b0c44327c,YouTube,,sao kho thé .,0,,,,sao kho thé .
5cede634fadc,YouTube,,"comment toàn bọn tiêu chuẩn kép, dell ai đụng vào mình mà cứ vô nói điện thoại nặng, dùng nokia đi",1,,,,"comment toàn bọn tiêu chuẩn kép, dell ai đụng vào mình mà cứ vô nói điện thoại nặng, dùng nokia đi"
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMTY4MzU4NDU0NTY1MjI1Ng==,Facebook,,ngã thế mà không vic gì,0,,,,ngã thế mà k vic j
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfNjQ5NDQ0MjQxMzU2NzQw,Facebook,,những tình trạng đua xe nên tịch thu xe tốt cả 2 một thì không gây tai nạn cho người khác hai là bản thân của nó không chết,0,,,,Những tình trạng đua xe nên tịch thu xe tốt cả 2 một thì không gây tai nạn cho người khác hai là bản thân của nó không chết
Y29tbWVudDoxMjg2Mzc2NzY5NTA3MzI4Xzc3Nzk2Nzk4ODAzNDc2Nw==,Facebook,,ô mai gót tộ,0,,,,ô mai gót tộ
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfNzgyNjc5MDA0NzQyMjcx,Facebook,,"<person> khổ vãi cả lồn, đuổi thì kêu nguy hiểm cho người đi đường, sao không quay lại biển số rồi phạt nguội d mày giờ động vào bọn này mà dân đéo khóc lóc kêu gào xem, 1 nốt nhạc là cút hết d mày nhà chúng mày tiêu chuẩn kép, công an việt nam khổ vãi lồn làm cái lồn gì cũng bị chúng mày chửi",1,,,,"Lặng Thầm khổ vãi cả loz, đuổi thì kêu nguy hiểm cho ng đi đường, sao ko quay lại biển số rồi phạt nguội =))) d m giờ động vào bọn này mà dân đéo khóc lóc kêu gào xem, 1 nốt nhạc là cút hết d m nhà chúng mày tiêu chuẩn kép, công an Việt Nam khổ vl làm cái loz gì cũng bị chúng mày chửi"
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzEyMjU4NzUwOTkyNzIyMjA=,Facebook,,<person> thay phiên,2,,,,Hoàng Vũ thay phiên
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzc5NzY1MTg2NjEyNjg3OQ==,Facebook,,má cái bọn bake vô văn hóa thật,2,,,,Má cái bọn bake vô văn hóa thật
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMjAzMjAyNzEzNDI5ODAyMg==,Facebook,,nhốt nó càng lâu càng tốt để nó ở ngoài xh mới ngụy hiểm,0,,,,Nhốt nó càng lâu càng tốt để nó ở ngoài xh mới ngụy hiểm
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTIyMDczNzcwOTg3MzMzNg==,Facebook,,"sông chúng mệt mỏi quá , áp lực quá, chịu không nổi thì chia tay",0,,,,"Sông chúng mệt mỏi quá , áp lực quá, chịu không nổi thì chia tay ✋"
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMTg2NzQ2ODg2Mzg1NTYwMg==,Facebook,,tử hình nhé chia rẽ tinh thần dân tộc thách thức cả dẫn <person>,0,,,,Tử hình nhé chia rẽ tinh thần dân tộc thách thức cả dẫn Miền Nam
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzE0MzE0MzgxNTEzNTc5NDM=,Facebook,,bộ phim đấu kiếm bắt đầu khởi chiếu. cho bọn con gái ế hết,0,,,,Bộ phim đấu kiếm bắt đầu khởi chiếu. Cho bọn con gái ế hết
Y29tbWVudDoxMDA4MDcwODgxMzU0OTIzXzIyOTk0NjcxNjM3NTQ3MzU=,Facebook,,"thấy em nó khóc tội thật, hay giảm 1/2 cho em nó đi !",0,,,,"Thấy e nó khóc tội thật, hay giảm 1/2 cho e nó đi !"
Y29tbWVudDoxMjM5OTM4MDQ4MTY0NzUyXzQwNDcyODA2NTU1MzMwNjY=,Facebook,,<person> nghe thấy tiếng rú cái tấp vào lề luôn nhường cái bố đời chán sống hết,0,,,,"Yến Nhi nghe thấy tiếng rú cái tấp vào lề luôn
Nhường cái bố đời chán sống hết"
Y29tbWVudDoxMjg2Mzc2NzY5NTA3MzI4XzI0MTU4MjU0NTI3MTk5NTAw,Facebook,,mv nặng đô nhất năm,2,,,,MV nặng đô nhất năm
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzIxODE4NTI0NzU1OTAwNTM=,Facebook,,<person> không dính máu thì dính cứt cũng xong,2,,,,Hoàng Vũ ko dính máu thì dính cứt cũng xong
Y29tbWVudDoxMjMyMTgxODIyMjc2MTQ4XzE5NDAyNzAxNDk4NTI5ODE=,Facebook,,tôi không phe ai hết tôi phe gió,0,,,,Tui hong phe ai hết ; Tui phe Gió
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTg3MDgwNTM3NzE2NDQ1Ng==,Facebook,violence,có người nó không dám manh động chứ lôi về được cái xác định với nó . cách cư xử lôi kéo của nó là đủ hiểu.,2,,,,Có người nó ko dám manh động chứ lôi về dc cái xác định với nó .cách cư xử lôi kéo của nó là đủ hiểu.
4dd4b609188b,YouTube,region,"<person> gọi bình thường thôi chúng tôi không xồn xồn đâu mà phải ""nam kỳ""",0,,,,"Nam Kỳ gọi bình thường thôi chúng tôi không xồn xồn đâu mà phải ""namky"" :))"
Y29tbWVudDoxMjg2Mzc2NzY5NTA3MzI4XzI0NzE4OTMxMDg0Mzk4NDAx,Facebook,,đúng xàm lồn,1,,,,Đúng xàm l :)))
16237597480e,YouTube,,đth tôi vừa dư rớt rơi xuống vì quá nặng khi nghe mv này,2,,,,Đth tôi vừa dư rớt rơi xuống vì quá nặng khi nghe MV này💀💀💀
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTU4ODg4NTQ0NTYwODU1Nw==,Facebook,violence,"khổ có con chém chép mà giõ khổ, bên kia thì khúc cây mà bất cứ ai cũng phải điêu đứng , chỉ vì thích lạ và ss, chồng con vợ bỏ hết thời nay sao họ không còn chung thuỷ như xưa, trách nhiệm với con cái tệ bạc , mả bây giờ con cái vợ chồng sao sao , thấy thời này sợ thật, giám đốc có học hay không đều vướng hết , không biết về sau mình sao nữa không biết có vượt được các chướng ngại của điện thoại vuốt không nữa.",2,,,,"Khổ có con chem chép mà giõ khổ,
Bên kia thì khúc cây 
Mà bất cứ ai cũng phải điêu đứng , chỉ vì thích lạ và ss,
Chồng con vợ bỏ hết thời nay sao họ không còn chung thuỷ như xưa, trách nhiệm với con cái tệ bạc , mả bây giờ  con cái vợ chồng sao sao , thấy thời này sợ thật, giám đốc có học hay không đều vướng hết ,
Không biết về sau mình sao nữa không biết có vượt được các chướng ngại  của 
Điện thoại vuốt không nữa."
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzc1NzIzNzg3Mzc0ODc1MA==,Facebook,,mở quán bán được mà có bịt rác trả tiền kg nỗi thật là tội nghiệp,1,,,,Mở quán bán được mà có bịt rác trả tiền kg nỗi thật là tội nghiệp
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzcwODM2Mzc1MTU1MjU5Nw==,Facebook,,đừng có làm liều nhé mày <person>,0,,,,Đừng có làm liều nha m Gau Bu Nguyen Van
0c9d6e71cdbc,YouTube,,sợ nó không quay mà nó ăn luôn nguyên cái trường quay,2,,,,Sợ nó k quay mà nó ăn luôn nguyên cái trường quay
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMTk2NDcxMTAzNDMyMjQxMw==,Facebook,family,mày coi xin lỗi ba mẹ mày kìa công nuôi cực khổ xin lỗi cộng đồng mạng giờ đã muộn rồi,2,,,,Mày coi xin lỗi ba mẹ mày kìa công nuôi cực khổ xin lỗi cộng đồng mạng giờ đã muộn rồi
82829999ce56,YouTube,,"2 thằng lệnh bđ, có gì mà xem.",0,,,,"2 thằng lệnh BĐ, có j mà xem."
Y29tbWVudDoxMDA4MDcwODgxMzU0OTIzXzkwNjYxNTUzMTI0OTk3Nw==,Facebook,,còn không có gương hậu kìa,0,,,,Còn k có gương hậu kìa😏
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzI0NjgzNzg5NDUxMzA3NzU1,Facebook,,mất văn hóa,1,,,,Mất văn hóa
15c4c1e8f4b4,YouTube,,"những cái cần tăng nặng mức phạt đây này,",0,,,,"Những cái cần tăng nặng mức phạt đây này,"
b79b8c318469,YouTube,,mong chú cs sớm hồi phục và khỏe mạnh .,0,,,,Mong chú cs sớm hồi phục và khỏe mạnh 💪.
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzI0ODk5ODU2NTAyOTgxMjg4,Facebook,,đeo có ý thức là gì vứt rác bừa bãi,1,,,,Đeo có ý thức là gì vứt rác bừa bãi
4c394be5724b,YouTube,,​ <user> ê nhé bữa xe tăng cũng bị tông nhé xe vin nó tông nhé không nên giờ đi xe vin đi anh vượn bao,0,,,,​ @tuyentruong8950 ê nhe bữa xe tăng cũng bị tông nhe 😂😂😂 xe vin nó tông nhe kkk nên h đi xe vin đi a vượn bao 😂
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMTQyOTA4Njg1NDgyMTQ0OA==,Facebook,,"sao chúng mày không lao xuống sông chết mẹ chúng mày hết đi, chứ ra đường thì người khác lại gặp họa",1,,,,"Sao chúng mày không lao xuống sông chết mẹ chúng mày hết đi, chứ ra đường thì người khác lại gặp họa"
c5f06f6dc7ed,YouTube,,điện thoại của tôi đã load được 1 tuần cuối cùng cs xem được,2,,,,điện thoại của tôi đã load đc 1 tuần cuối cùng cs xem đc
Y29tbWVudDoxMjg2Mzc2NzY5NTA3MzI4Xzc1NzcxNDg1MDE3NjkxMA==,Facebook,,mày lại lôi trà bông để bú fame?,2,,,,m lại lôi trà bông để bú fame?
Y29tbWVudDoxMjg2Mzc2NzY5NTA3MzI4XzE1MTAzODU0NTM0NTk1Mjk=,Facebook,,<person> thua ông địa mỗi cái quạt,0,,,,Nguyen Hoang  thua ông địa mỗi cái quạt
Y29tbWVudDoxMDA1MTk0NjI4NDM4MjcwXzQ5ODQzMDg0NjU5NzI4Mw==,Facebook,,sao em gái không mặc váy nhỉ,0,,,,Sao em gái ko mặc váy nhỉ
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfODE2MDgyMzk3NjM3Mzk5,Facebook,,hg vậy hòa đi là đi luôn chứ về làmgì,0,,,,Hg V Hòa đi là đi luôn chứ về làm.gì
Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzE2MDA1NDEzNDc5NzQ4NTU=,Facebook,,<person> chuẩn không giúp thì mình im lặngđể ai giúp được họ giúpmấy người hay soi mói đa số không làm,0,,,,Thanh Tú chuẩn k giúp thì mình im lặng.để ai giúp được họ giúp.mấy người hay soi mói đa số k làm
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzE0ODAyMzExMzY0NDg3MDE=,Facebook,,thấy chữ phở hà nội không,0,,,,Thấy chữ Phở Hà Nội Ko
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMjQ2MzAyODE0ODk5Mjc4Njc=,Facebook,,sao mày đéo chết luôn đi,1,,,,Sao mày đéo chết luôn đi
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfODcwNDE2MDI1NjQ5MjA3,Facebook,violence,<person> không đánh giá cao điều đó,0,,,,Phung Huynh Tui không đánh giá cao điều đó😇
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMjAwOTI0OTkwNjU5NDg1MQ==,Facebook,,thay máu mới mong miệng sạch sẽ được,0,,,,Thay máu mới mong miệng sạch sẽ được
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMTc5Mjc0MjQxNDY2NzM2NQ==,Facebook,,"bon chó chết, cho chết hết đi",0,,,,"Bon chó chết, cho chết hết đi"
