id,input_text,raw_comment,raw_title,cleaned_comment,cleaned_title,source_platform,source_url,post_id,video_id,timestamp,username,likes,replies_count,char_length,word_count,has_emoji,topic,label,note,labeler,confidence,is_hate_keyword,sampling_strategy
Y29tbWVudDoxMjM5OTM4MDQ4MTY0NzUyXzEyOTYwMjc1MjE4NTAwOTI=,vụ xe phân khối lớn đâm vào đôi bạn trẻ trên phố <person> video hành trình ghi lại cảnh chiếc bmw phóng vơi tốc độ kinh hoàng‼ nghe tiếng người bạn trai ôm bạn gái bị đứt lìa chân khóc thảm. </s> <person> thề chứ địt con mẹ tao cực ghéc mấy thể loại chạy pkl thể hiện như này địt con mẹ bảo sao,Nguyễn Văn Có thề chứ dcm tao cực ghéc mấy thể loại chạy pkl thể hiện như này dcm bảo sao,"Vụ xe Phân khối lớn đâm vào đôi bạn trẻ trên phố Trịnh Văn Bô: Video hành trình ghi lại cảnh chiếc BMW phóng vơi tốc độ kinh hoàng‼️
Nghe tiếng người bạn trai ôm bạn gái bị đứt lìa chân khóc thảm...",<person> thề chứ địt con mẹ tao cực ghéc mấy thể loại chạy pkl thể hiện như này địt con mẹ bảo sao,vụ xe phân khối lớn đâm vào đôi bạn trẻ trên phố <person> video hành trình ghi lại cảnh chiếc bmw phóng vơi tốc độ kinh hoàng‼ nghe tiếng người bạn trai ôm bạn gái bị đứt lìa chân khóc thảm.,Facebook,,Y29tbWVudDoxMjM5OTM4MDQ4MTY0NzUyXzEyOTYwMjc1MjE4NTAwOTI=,,2025-10-17 04:16:16+00:00,user_4ffed7ff5e,8,0,98,23,False,neu,1.0,,,,True,hate_keyword
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMjU0NTI0NTk1MzEwMjE4MTE=,"boy phố ""gãy cánh"" ngay trước mặt </s> địt mẹ sao không đạp cho mấy đạp nhỉ,","Dm sao ko đạp cho mấy đạp nhỉ,","Boy phố ""gãy cánh"" ngay trước mặt 😂😂
#giaothongmoingay #vanhoagiaothong #tintuc #giaothong #tainan #vipham #xuhuong #viral","địt mẹ sao không đạp cho mấy đạp nhỉ,","boy phố ""gãy cánh"" ngay trước mặt",Facebook,,Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMjU0NTI0NTk1MzEwMjE4MTE=,,2025-10-08 15:53:06+00:00,user_f6a7d28e30,0,0,37,9,False,social issues- tệ nạn giao thông,1.0,,,,True,hate_keyword
d6a569c75ede,<person> <person> </s> nhưng mà cái vấn đề ở đây là ngoại trừ cái bạn bồ của thằng triết dái thì đứa nào trong câu chuyện này cũng ngân đù hết,nhưng mà cái vấn đề ở đây là ngoại trừ cái bạn bồ của thằng triết dái thì đứa nào trong câu chuyện này cũng ngân đù hết,Con Thầy Vợ Bạn Gái Coser,,,Youtube,,,,,,0,0,0,0,False,,1.0,,,,True,hate_keyword
36d9fcfa1f87,<person> không còn vui nữa </s> địt mẹ lâu lắm mới thấy ông này . xem vẫn vui và hài,dm lâu lắm mới thấy ông này ... xem vẫn vui và hài,Mạng Xã Hội không còn vui nữa,,,Youtube,,,,,,0,0,0,0,False,,0.0,,,,True,hate_keyword
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTEzNDQ1NDc3MjIyMjU1OA==,cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> thằng này chắc không phải quê tao. phú thọ,Thằng này chắc ko phải quê tao. Phú thọ,Cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. Mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về #reels #viral #xuhuong #MultiTV,thằng này chắc không phải quê tao. phú thọ,cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về,Facebook,,Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTEzNDQ1NDc3MjIyMjU1OA==,,2025-11-07 17:02:53+00:00,user_d9d7b4e52e,1,0,42,9,False,drama,0.0,,,,True,hate_keyword
Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzExNjM1NTAyMDI2MzY2Nzk=,"<person> đi từ thiện như mở megalive, làm gì cũng nói lớn sợ mic không thu tiếng </s> <person> giỏi thử ở trong vùng lũ 2 ngày không được ăn dì đi . mẹ tháy đồ cứu trợ như tháy tiên tháy phật cảm tạ không hết chứ ở đó mà nói . trong hoàn cảnh đó nhiều người cần cứu trợ kiu khản cổ mà còn chưa được cứu . mình có người tới cứu trợ là phước phần lắm rbà nhân có gắn 100 cái mixx lên người củng được . bả diễn kỉu điện ảnh đồ củng được . người ta lăn xả kỉu đó quý báu lắm rồi. máy cha máy mẹ bớt sân dùm con cái",Nguyễn Trung giỏi thử ở trong vùng lũ 2 ngày k đc ăn dì đi ..mẹ tháy đồ cứu trợ như tháy tiên tháy phật cảm tạ k hết chứ ở đó mà nói .trong hoàn cảnh đó nhìu ng cần cứu trợ kiu khản cổ mà còn chưa đc cứu .mình có ng tới cứu trợ là phước phần lắm r.bà nhân có  gắn 100 cái mixx lên ng  củng đc ..bả  diễn kỉu điện ảnh đồ  củng đc ....ngta lăn xả kỉu đó quý báu lắm r. Máy cha máy mẹ bớt sân dùm con cái,"Bà Nhân Vlog đi từ thiện như mở megalive, làm gì cũng nói lớn sợ mic không thu tiếng",<person> giỏi thử ở trong vùng lũ 2 ngày không được ăn dì đi . mẹ tháy đồ cứu trợ như tháy tiên tháy phật cảm tạ không hết chứ ở đó mà nói . trong hoàn cảnh đó nhiều người cần cứu trợ kiu khản cổ mà còn chưa được cứu . mình có người tới cứu trợ là phước phần lắm rbà nhân có gắn 100 cái mixx lên người củng được . bả diễn kỉu điện ảnh đồ củng được . người ta lăn xả kỉu đó quý báu lắm rồi. máy cha máy mẹ bớt sân dùm con cái,"<person> đi từ thiện như mở megalive, làm gì cũng nói lớn sợ mic không thu tiếng",Facebook,,Y29tbWVudDoxMjg5MDExNDY5OTIyNjcyXzExNjM1NTAyMDI2MzY2Nzk=,,2025-11-22 04:10:25+00:00,user_7b479ed2df,3,0,424,103,False,drama influencer,0.0,,,,True,hate_keyword
f0fa820491c3,"dấu chấm hết cho tiktoker ""đớp"" 40 triệu tiền từ thiện </s> đéo quan tâm cho hỏi nhạc gì nghe hay vãi",Đéo quan tâm cho hỏi nhạc gì nghe hay vãi,"Dấu chấm hết cho Tiktoker ""đớp"" 40 triệu tiền từ thiện 😌 #tuthien #thiennguyen #luadao #tiktoker",đéo quan tâm cho hỏi nhạc gì nghe hay vãi,"dấu chấm hết cho tiktoker ""đớp"" 40 triệu tiền từ thiện",YouTube,,,PrKMb_odFLA,,user_anonymous,0,0,41,10,False,dramashowbiz,0.0,,,,True,hate_keyword
a169c0173e6b,devgame giỏi nhất việt nam đã quay trở lại. </s> hệ tư tưởng kojima khi được sử dụng bởi mấy thằng thiểu năng,Hệ tư tưởng Kojima khi được sử dụng bởi mấy thằng thiểu năng :,Devgame giỏi nhất Việt Nam đã quay trở lại...,,,Youtube,,,,,,0,0,0,0,False,,1.0,,,,True,hate_keyword
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMTM1MzQ2ODI4NjMwODg0NA==,"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> Địt mẹ mày",Dịt mẹ mầy,"Phân biệt vùng miền, miệt thị người dân vùng lũ..Tàng Keng Ông Trùm lên tiếng xin lỗi nhưng ..QUÁ MUỘN!",Địt mẹ mày,"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn!",Facebook,,Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfMTM1MzQ2ODI4NjMwODg0NA==,,2025-10-25 22:36:18+00:00,user_0d2ba9152c,0,0,10,3,False,regional discrimination,1,,,,True,hate_keyword
0f19af0568c4,"<person> my20s <person> <person> sinh đức </s> bà chị khịa ác vãi lồn, bình thường tôi không quan tâm đến chuyện chị em có vấn đề với nhau đâu nhưng cái video này bánh cuốn vãi","Bà chị khịa ác vleu, bình thường tôi ko quan tâm đến chuyện chị em có vấn đề với nhau đâu nhưng cái video này bánh cuốn vãi=))))))))))))))))))))",Thạch Trang my20s: Bộ Mặt Thật Của Nàng Thơ Du Học Sinh Đức,,,Youtube,,,,,,0,0,0,0,False,,1,,,,True,hate_keyword
