id,source_platform,topic,text_to_label,label,topic_hate,confidence,note,original_text
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTQzNTc3Nzg2NDc4MDMzMw==,Facebook,drama,nếu người vợ đã không chịu về thì thôi ly hôn đi đã người ta không chịu rồi ép người ta chi,0,,,,Nếu người vk đã không chịu về thì thôi ly hôn đi.đã người ta không chịu rồi ép người ta chi
Y29tbWVudDoxMDA4MDcwODgxMzU0OTIzXzEzMjU3MDgxMDg3ODA1Njc=,Facebook,social issues - vnexpress,5tr sinh viên bố mẹ cho 4tr 1 tháng giờ làm sao,0,,,,5tr sinh viên bố mẹ cho 4tr 1 tháng giờ làm sao
Y29tbWVudDoxMjIxNDA4MzEwNDY5MjMwODZfMTc4MTQ2MzM4MjUwMDg0OA==,Facebook,social issues- tệ nạn giao thông,<person> cũng định bắt nhưng phát hiện trong đó có mấy thằng con mày nên sợ không giám bắt cứ để nó chạy chán rồi tháng nó cũng về 2 lần thôi mà,0,,,,Nguyễn Ngọc Biển cũng định bắt nhưng phát hiện trong đó có mấy thằng con mày nên sợ kg giám bắt cứ để nó chạy chán rồi tháng nó cũng về 2 lần thôi mà
331f9feef9b7,YouTube,regional discrimination!,tôi hay gọi là người bắc thôi sống lớn rồi thì ăn nói lịch sự chút,0,,,,tôi hay gọi là người Bắc thôi❤sống lớn rồi thì ăn nói lịch sự chút
Y29tbWVudDoxMDI0OTY0ODAzMTI3OTE5XzEyNDA0MTAwODQxMjA1NjU=,Facebook,lgbtvn,<person> sập chưa? Xạo lồn riết quen,1,,,,Quang Binh sập chưa? Lộn xào riết quen 😂
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfNzU0MjU3ODEwOTk5NjY5,Facebook,regional discrimination,xin lỗi là xong hả con dễ dữ vậy,0,,,,Xin loi là xong hả con dể giử vậy
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTQ4OTcxMTg0ODk3MjY4Mg==,Facebook,drama,đơn giản chỉ vì quá yêu,0,,,,Đơn giản chỉ vì quá yêu
Y29tbWVudDo4NDIzNzAxODgzMDcyODRfMTIwNTA1NDk5MTczNzA5MA==,Facebook,drama,thùng sốp 40k,0,,,,Thùng sốp 40k
e113ddc8312e,YouTube,social,"xe nó đang chạy, đi nhảy ra lãnh đạn. chơi ngu quen thói.",1,,,,"Xe 🚗 nó đang chạy, đi nhảy ra lãnh đạn.  Chơi ngu quen thói.  😅"
Y29tbWVudDo2NzYyMzQyMzIyMTAwNjVfNzAwMDU1MzU1OTM2MjQw,Facebook,regional discrimination,chửi cho dữ rồi xin lỗi không ai chấp nhận cả,0,,,,Chưởi cho dữ rồi xin lỗi ko ai chấp nhận cả
Y29tbWVudDoxMjcyNTYxNjkxNTY5MDU0XzEyOTIyODQ4MzI5NDQ3MjY=,Facebook,regional discriminationn,cốc trà tranh 80k 2019 này,0,,,,Cốc trà tranh 80k 2019 nè
Y29tbWVudDoxMjQxNzA5NDYxMzMyMzkyXzE0Nzc0MDEzMzY3MjM0NDY=,Facebook,social issue - pbvm ,"vô đồng nai toàn rác , đi tới đâu vứt rác đầy hết , vô quán ăn của người bắc là úi giùi ơi ,",2,,,,"Vô đồng nai toàn rác , đi tới đâu vứt rác đầy hết , vô quán ăn của ng bắc là úi giùi ơi , 😮"
